TIME;;;;;;;FILES;;PLANT ID;;;;;;VISITORS (1);;;;;;;;;;;;;;VISITOR BEHAVIOUR (1);;;;;;;;;;;;;;;;;;;CONTACT (1);;;
Year;Month;Day;Hour;Min;Sec;##;Video file name;Video record present;Plant Genus;Plant Species;Plant Number;Number of observed flowers (M | F);;Multiplier;Visitor arrival;Exact time of arrival;T.o.A. in video file;Total duration of visit (sec);Exact time of departure;;;T.o.D. in video file;Visitor species;SD's ID;;Insect order ;Sex;;Number of visited flowers (M | F);;Flower number;Resting/walking;Duration (sec);Flying;Duration (sec);Feeding on pollen;Duration (sec);Feeding on nectar ;Duration (sec);Unsuccessful nectardrinking attempts;Duration (sec);Feeding on floral parts;Duration (sec);Comment (visitor behaviour);Primary Robbing;Secondary robbing;;Contact with anthers;# flowers with anthers contacted;Contact with stigma;# flowers with stigmas contacted
2021;Nov;11;11;56;;;Gerara4_20211111_11_00;1;Geranium ;arabicum;4;2;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;11;11;57;;;Gerara4_20211111_11_00;1;Geranium ;arabicum;4;2;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;11;11;58;;;Gerara4_20211111_11_00;1;Geranium ;arabicum;4;2;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;11;11;59;;;Gerara4_20211111_11_00;1;Geranium ;arabicum;4;2;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;11;12;00;;;Gerara4_20211111_12_00;1;Geranium ;arabicum;4;2;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;11;12;01;;;Gerara4_20211111_12_00;1;Geranium ;arabicum;4;2;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;11;12;02;;;Gerara4_20211111_12_00;1;Geranium ;arabicum;4;2;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;11;12;03;;;Gerara4_20211111_12_00;1;Geranium ;arabicum;4;2;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;11;12;04;;;Gerara4_20211111_12_00;1;Geranium ;arabicum;4;2;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;11;12;05;;;Gerara4_20211111_12_00;1;Geranium ;arabicum;4;2;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;11;12;06;;;Gerara4_20211111_12_00;1;Geranium ;arabicum;4;2;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;11;12;07;;;Gerara4_20211111_12_00;1;Geranium ;arabicum;4;2;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;11;12;08;;;Gerara4_20211111_12_00;1;Geranium ;arabicum;4;2;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;11;12;09;;;Gerara4_20211111_12_00;1;Geranium ;arabicum;4;2;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;11;12;10;;;Gerara4_20211111_12_00;1;Geranium ;arabicum;4;2;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;11;12;11;;;Gerara4_20211111_12_00;1;Geranium ;arabicum;4;2;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;11;12;12;00 10;;Gerara4_20211111_12_00;1;Geranium ;arabicum;4;2;0;;1;12:12:10;12:10;95;12;13;45;13:45;tiny thing;Hymenoptera sp.01;;Hymenoptera;NA;0;1;;;1;95;;;;;;;;;;;walks on petals;;;;0;;0;
2021;Nov;11;12;13;;;Gerara4_20211111_12_00;1;Geranium ;arabicum;4;2;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;11;12;14;;;Gerara4_20211111_12_00;1;Geranium ;arabicum;4;2;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;11;12;15;;;Gerara4_20211111_12_00;1;Geranium ;arabicum;4;2;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;11;12;16;;;Gerara4_20211111_12_00;1;Geranium ;arabicum;4;2;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;11;12;17;;;Gerara4_20211111_12_00;1;Geranium ;arabicum;4;2;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;11;12;18;;;Gerara4_20211111_12_00;1;Geranium ;arabicum;4;2;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;11;12;19;;;Gerara4_20211111_12_00;1;Geranium ;arabicum;4;2;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;11;12;20;;;Gerara4_20211111_12_00;1;Geranium ;arabicum;4;2;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;11;12;21;;;Gerara4_20211111_12_00;1;Geranium ;arabicum;4;2;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;11;12;22;;;Gerara4_20211111_12_00;1;Geranium ;arabicum;4;2;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;11;12;23;;;Gerara4_20211111_12_00;1;Geranium ;arabicum;4;2;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;11;12;24;;;Gerara4_20211111_12_00;1;Geranium ;arabicum;4;2;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;11;12;25;;;Gerara4_20211111_12_00;1;Geranium ;arabicum;4;2;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;11;12;26;;;Gerara4_20211111_12_00;1;Geranium ;arabicum;4;2;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;11;12;27;;;Gerara4_20211111_12_00;1;Geranium ;arabicum;4;2;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;11;12;28;;;Gerara4_20211111_12_00;1;Geranium ;arabicum;4;2;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;11;12;29;;;Gerara4_20211111_12_00;1;Geranium ;arabicum;4;2;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;11;12;30;00 25;;Gerara4_20211111_12_00;1;Geranium ;arabicum;4;2;0;;1;12:30:25;30:25;221;12;34;06;34:06;unknown;Unknown;;Unknown;NA;0;1;;;1;221;;;;;;;;;;;walks from petals to centre;;;;0;;0;
2021;Nov;11;12;31;;;Gerara4_20211111_12_00;1;Geranium ;arabicum;4;2;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;11;12;32;;;Gerara4_20211111_12_00;1;Geranium ;arabicum;4;2;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;11;12;33;;;Gerara4_20211111_12_00;1;Geranium ;arabicum;4;2;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;11;12;34;;;Gerara4_20211111_12_00;1;Geranium ;arabicum;4;2;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;11;12;35;;;Gerara4_20211111_12_00;1;Geranium ;arabicum;4;2;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;11;12;36;;;Gerara4_20211111_12_00;1;Geranium ;arabicum;4;2;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;11;12;37;;;Gerara4_20211111_12_00;1;Geranium ;arabicum;4;2;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;11;12;38;;;Gerara4_20211111_12_00;1;Geranium ;arabicum;4;2;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;11;12;39;;;Gerara4_20211111_12_00;1;Geranium ;arabicum;4;2;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;11;12;40;;;Gerara4_20211111_12_00;1;Geranium ;arabicum;4;2;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;11;12;41;;;Gerara4_20211111_12_00;1;Geranium ;arabicum;4;2;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
