    ;;;;;;;FILES;;PLANT ID;;;;;;VISITORS (1);;;;;;;;;;;;;;VISITOR BEHAVIOUR (1);;;;;;;;;;;;;;;;;;;CONTACT (1);;;
Year;Month;Day;Hour;Min;Sec;##;Video file name;Video record present;Plant Genus;Plant Species;Plant Number;Number of observed flowers (M | F);;Multiplier;Visitor arrival;Exact time of arrival;T.o.A. in video file;Total duration of visit (sec);Exact time of departure;;;T.o.D. in video file;Visitor species;SD IDs;;Insect order ;Sex;;Number of visited flowers (M | F);;Flower number;Resting/walking;Duration (sec);Flying;Duration (sec);Feeding on pollen;Duration (sec);Feeding on nectar ;Duration (sec);Unsuccessful nectardrinking attempts;Duration (sec);Feeding on floral parts;Duration (sec);Comment (visitor behaviour);Primary Robbing;Secondary robbing;;Contact with anthers;# flowers with anthers contacted;Contact with stigma;# flowers with stigmas contacted
2019;Nov;22;12;10;;;Lacine12_20191122_12_00;1;Lactuca;inermis;12;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;12;11;;;Lacine12_20191122_12_00;1;Lactuca;inermis;12;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;12;12;;;Lacine12_20191122_12_00;1;Lactuca;inermis;12;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;12;13;00 19;;Lacine12_20191122_12_00;1;Lactuca;inermis;12;3;0;;1;12:13:19;13:19;12;12;13;31;13:31;fly;Striped fly with ant;;Diptera;NA;0;1;;;;;;;;;1;12;;;;;;;;;1;1;1;1
2019;Nov;22;12;13;00 49;;Lacine12_20191122_12_00;1;Lactuca;inermis;12;3;0;;1;12:13:49;13:49;27;12;14;16;14:16;fly;Striped fly with ant;;Diptera;NA;0;1;;;1;12;;;;;1;15;;;;;;;;;1;1;1;1
2019;Nov;22;12;14;;;Lacine12_20191122_12_00;1;Lactuca;inermis;12;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;12;15;00 11;;Lacine12_20191122_12_00;1;Lactuca;inermis;12;3;0;;1;12:15:11;15:11;93;12;16;44;16:44;fly;Striped fly with ant;;Diptera;NA;0;1;;;1;23;;;;;1;70;;;;;;;;;1;1;1;1
2019;Nov;22;12;16;;;Lacine12_20191122_12_00;1;Lactuca;inermis;12;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;12;17;;;Lacine12_20191122_12_00;1;Lactuca;inermis;12;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;12;18;;;Lacine12_20191122_12_00;1;Lactuca;inermis;12;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;12;19;;;Lacine12_20191122_12_00;1;Lactuca;inermis;12;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
