TIME;;;;;;;FILES;;PLANT ID;;;;;;VISITORS (1);;;;;;;;;;;;;;VISITOR BEHAVIOUR (1);;;;;;;;;;;;;;;;;;;CONTACT (1);;;
Year;Month;Day;Hour;Min;Sec;##;Video file name;Video record present;Plant Genus;Plant Species;Plant Number;Number of observed flowers (M | F);;Multiplier;Visitor arrival;Exact time of arrival;T.o.A. in video file;Total duration of visit (sec);Exact time of departure;;;T.o.D. in video file;Visitor species;Sylvain's ID;;Insect order ;Sex;;Number of visited flowers (M | F);;Flower number;Resting/walking;Duration (sec);Flying;Duration (sec);Feeding on pollen;Duration (sec);Feeding on nectar ;Duration (sec);Unsuccessful nectardrinking attempts;Duration (sec);Feeding on floral parts;Duration (sec);Comment (visitor behaviour);Primary Robbing;Secondary robbing;;Contact with anthers;# flowers with anthers contacted;Contact with stigma;# flowers with stigmas contacted
2021;Nov;13;16;00;;;Clesim5_20211113_16_00;1;Clematis;simense;5;12;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;13;16;01;;;Clesim5_20211113_16_00;1;Clematis;simense;5;12;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;13;16;02;;;Clesim5_20211113_16_00;1;Clematis;simense;5;12;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;13;16;03;00 14;;Clesim5_20211113_16_00;1;Clematis;simense;5;12;0;;1;16:03:14;03:14;34;16;03;48;03:48;unknown;Diptera sp.07;;Diptera;NA;;1;;;;;;;;;;;;;;;remains still on petals to departure;;;;0;;0;
2021;Nov;13;16;04;;;Clesim5_20211113_16_00;1;Clematis;simense;5;12;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;13;16;05;00 16;;Clesim5_20211113_16_00;1;Clematis;simense;5;12;0;;1;16:05:16;05:16;95;16;06;51;06:51;fly;Syrphidae sp.02;;Diptera;NA;;2;;;;;;;;;;;;;;;petals to flower centre;;;;0;;0;
2021;Nov;13;16;05;00 23;;Clesim5_20211113_16_00;1;Clematis;simense;5;12;0;;1;16:05:23;05:23;23;16;05;46;05:46;fly;Anthomyia sp.02;;Diptera;NA;;1;;;;;;;;;;;;;;;walks on petals;;;;0;;0;
2021;Nov;13;16;05;00 33;;Clesim5_20211113_16_00;1;Clematis;simense;5;12;0;;1;16:05:33;05:33;51;16;06;24;06:24;fly;Anthomyia sp.02;;Diptera;NA;;2;;;;;;;;;;;;;;;petals to flower centre;;;;0;;0;
2021;Nov;13;16;05;00 58;;Clesim5_20211113_16_00;1;Clematis;simense;5;12;0;;1;16:05:58;05:58;861;16;20;19;20:19;fly;Anthomyia sp.02;;Diptera;NA;;3;;;;;;;;;;;;;;;moved to flower centre;;;;0;;0;
2021;Nov;13;16;05;00 59;;Clesim5_20211113_16_00;1;Clematis;simense;5;12;0;;1;16:05:59;05:59;597;16;15;56;15:56;fly;Anthomyia sp.02;;Diptera;NA;;3;;;;;;;;;;;;;;;around petals;;;;0;;0;
2021;Nov;13;16;06;00 27;;Clesim5_20211113_16_00;1;Clematis;simense;5;12;0;;1;16:06:27;06:27;06;16;06;33;06:33;fly;Striped fly;;Diptera;NA;;2;;;;;;;;;;;;;;;petals to flower centre;;;;0;;0;
2021;Nov;13;16;07;;;Clesim5_20211113_16_00;1;Clematis;simense;5;12;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;13;16;08;;;Clesim5_20211113_16_00;1;Clematis;simense;5;12;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;13;16;09;;;Clesim5_20211113_16_00;1;Clematis;simense;5;12;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;13;16;10;;;Clesim5_20211113_16_00;1;Clematis;simense;5;12;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;13;16;11;;;Clesim5_20211113_16_00;1;Clematis;simense;5;12;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;13;16;12;;;Clesim5_20211113_16_00;1;Clematis;simense;5;12;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;13;16;13;;;Clesim5_20211113_16_00;1;Clematis;simense;5;12;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;13;16;14;;;Clesim5_20211113_16_00;1;Clematis;simense;5;12;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;13;16;15;00 39;;Clesim5_20211113_16_00;1;Clematis;simense;5;12;0;;1;16:15:39;15:39;14;16;15;53;15:53;fly;Striped fly sp.02;;Diptera;NA;;2;;;;;;;;;;;;;;;petals to flower centre;;;;0;;0;
2021;Nov;13;16;15;00 44;;Clesim5_20211113_16_00;1;Clematis;simense;5;12;0;;1;16:15:44;15:44;12;16;15;56;15:56;fly;Anthomyia sp.02;;Diptera;NA;;1;;;;;;;;;;;;;;;walks to flower center;;;;0;;0;
2021;Nov;13;16;15;00 47;;Clesim5_20211113_16_00;1;Clematis;simense;5;12;0;;1;16:15:47;15:47;39;16;16;26;16:26;fly;Striped fly;;Diptera;NA;;3;;;;;;;;;;;;;;;moved to flower centre;;;;0;;0;
2021;Nov;13;16;15;00 48;;Clesim5_20211113_16_00;1;Clematis;simense;5;12;0;;1;16:15:48;15:48;37;16;16;25;16:25;fly;???;Same individual as row 73?;#N/A;#N/A;;3;;;;;;;;;;;;;;;petals to flower centre;;;;0;;0;
2021;Nov;13;16;15;00 50;;Clesim5_20211113_16_00;1;Clematis;simense;5;12;0;;1;16:15:50;15:50;269;16;20;19;20:19;fly;Anthomyia sp.02;;Diptera;NA;;2;;;;;;;;;;;;;;;petals to flower centre;;;;0;;0;
2021;Nov;13;16;16;00 52;;Clesim5_20211113_16_00;1;Clematis;simense;5;12;0;;1;16:16:52;16:52;14;16;17;06;17:06;unknown;Small orange Acalyptratae;;Diptera;NA;;1;;;;;;;;;;;;;;;walks around petals;;;;0;;0;
2021;Nov;13;16;17;00 17;;Clesim5_20211113_16_00;1;Clematis;simense;5;12;0;;1;16:17:17;17:17;278;16;21;55;21:55;fly;Syrphidae sp.02;;Diptera;NA;;3;;;;;;;;;;;;;;;petals to flower centre;;;;0;;0;
2021;Nov;13;16;18;;;Clesim5_20211113_16_00;1;Clematis;simense;5;12;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;13;16;19;;;Clesim5_20211113_16_00;1;Clematis;simense;5;12;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;13;16;20;;;Clesim5_20211113_16_00;1;Clematis;simense;5;12;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;13;16;21;;;Clesim5_20211113_16_00;1;Clematis;simense;5;12;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;13;16;22;;;Clesim5_20211113_16_00;1;Clematis;simense;5;12;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;13;16;23;00 43;;Clesim5_20211113_16_00;1;Clematis;simense;5;12;0;;1;16:23:43;23:43;209;16;27;12;27:12;fly;Anthomyia sp.02;;Diptera;NA;;1;;;;;;;;;;;;;;;petals to flower centre;;;;0;;0;
2021;Nov;13;16;24;;;Clesim5_20211113_16_00;1;Clematis;simense;5;12;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
