TIME;;;;;;;FILES;;PLANT ID;;;;;;VISITORS (1);;;;;;;;;;;;;;VISITOR BEHAVIOUR (1);;;;;;;;;;;;;;;;;;;CONTACT (1);;;
Year;Month;Day;Hour;Min;Sec;##;Video file name;Video record present;Plant Genus;;Plant Number;Number of observed flowers (M | F);;Multiplier;Visitor arrival;Exact time of arrival;T.o.A. in video file;Total duration of visit (sec);Exact time of departure;;;T.o.D. in video file;Visitor species;JH/SD IDs;Morphospecies;Insect order ;Sex;;Number of visited flowers (M | F);;Flower number;Resting/walking;Duration (sec);Flying;Duration (sec);Feeding on pollen;Duration (sec);Feeding on nectar ;Duration (sec);Unsuccessful nectardrinking attempts;Duration (sec);Feeding on floral parts;Duration (sec);Comment (visitor behaviour);Primary Robbing;Secondary robbing;;Contact with anthers;# flowers with anthers contacted;Contact with stigma;# flowers with stigmas contacted
2019;Nov;22;11;46;;;Crehyp10_20191122_11_00;1;Crepis ;hypochoeridea;10;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;11;47;;;Crehyp10_20191122_11_00;1;Crepis ;hypochoeridea;10;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;11;48;;;Crehyp10_20191122_11_00;1;Crepis ;hypochoeridea;10;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;11;49;;;Crehyp10_20191122_11_00;1;Crepis ;hypochoeridea;10;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;11;50;;;Crehyp10_20191122_11_00;1;Crepis ;hypochoeridea;10;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;11;51;;;Crehyp10_20191122_11_00;1;Crepis ;hypochoeridea;10;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;11;52;;;Crehyp10_20191122_11_00;1;Crepis ;hypochoeridea;10;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;11;53;;;Crehyp10_20191122_11_00;1;Crepis ;hypochoeridea;10;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;11;54;;;Crehyp10_20191122_11_00;1;Crepis ;hypochoeridea;10;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;11;55;;;Crehyp10_20191122_11_00;1;Crepis ;hypochoeridea;10;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;11;56;;;Crehyp10_20191122_11_00;1;Crepis ;hypochoeridea;10;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;11;57;;;Crehyp10_20191122_11_00;1;Crepis ;hypochoeridea;10;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;11;58;;;Crehyp10_20191122_11_00;1;Crepis ;hypochoeridea;10;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;11;59;;;Crehyp10_20191122_11_00;1;Crepis ;hypochoeridea;10;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;12;00;;;Crehyp10_20191122_12_00;1;Crepis ;hypochoeridea;10;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;12;01;;;Crehyp10_20191122_12_00;1;Crepis ;hypochoeridea;10;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;12;02;;;Crehyp10_20191122_12_00;1;Crepis ;hypochoeridea;10;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;12;03;;;Crehyp10_20191122_12_00;1;Crepis ;hypochoeridea;10;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;12;04;;;Crehyp10_20191122_12_00;1;Crepis ;hypochoeridea;10;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;12;05;;;Crehyp10_20191122_12_00;1;Crepis ;hypochoeridea;10;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;12;06;;;Crehyp10_20191122_12_00;1;Crepis ;hypochoeridea;10;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;12;07;;;Crehyp10_20191122_12_00;1;Crepis ;hypochoeridea;10;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;12;08;;;Crehyp10_20191122_12_00;1;Crepis ;hypochoeridea;10;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;12;09;;;Crehyp10_20191122_12_00;1;Crepis ;hypochoeridea;10;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;12;10;;;Crehyp10_20191122_12_00;1;Crepis ;hypochoeridea;10;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;12;11;;;Crehyp10_20191122_12_00;1;Crepis ;hypochoeridea;10;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;12;12;;;Crehyp10_20191122_12_00;1;Crepis ;hypochoeridea;10;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;12;13;;;Crehyp10_20191122_12_00;1;Crepis ;hypochoeridea;10;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;12;14;;;Crehyp10_20191122_12_00;1;Crepis ;hypochoeridea;10;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;12;15;;;Crehyp10_20191122_12_00;1;Crepis ;hypochoeridea;10;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;12;16;;;Crehyp10_20191122_12_00;1;Crepis ;hypochoeridea;10;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;12;17;;;Crehyp10_20191122_12_00;1;Crepis ;hypochoeridea;10;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;12;18;;;Crehyp10_20191122_12_00;1;Crepis ;hypochoeridea;10;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;12;19;;;Crehyp10_20191122_12_00;1;Crepis ;hypochoeridea;10;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;12;20;00 33;;Crehyp10_20191122_12_00;1;Crepis ;hypochoeridea;10;3;0;;1;12:20:33;20:33;15;12;20;48;20:48;fly ;Brachycera;;Diptera;NA;0;1;;;1;15;;;;;;;;;;;;;;;1;1;1;1
2019;Nov;22;12;21;;;Crehyp10_20191122_12_00;1;Crepis ;hypochoeridea;10;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;12;22;00 55;;Crehyp10_20191122_12_00;1;Crepis ;hypochoeridea;10;3;0;;1;12:22:55;22:55;06;12;23;01;23:01;fly ;Brachycera;;Diptera;NA;0;1;;;1;6;;;;;;;;;;;;;;;1;1;1;1
2019;Nov;22;12;23;;;Crehyp10_20191122_12_00;1;Crepis ;hypochoeridea;10;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;12;24;;;Crehyp10_20191122_12_00;1;Crepis ;hypochoeridea;10;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;12;25;;;Crehyp10_20191122_12_00;1;Crepis ;hypochoeridea;10;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;12;26;;;Crehyp10_20191122_12_00;1;Crepis ;hypochoeridea;10;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;12;27;;;Crehyp10_20191122_12_00;1;Crepis ;hypochoeridea;10;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;12;28;;;Crehyp10_20191122_12_00;1;Crepis ;hypochoeridea;10;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
