TIME;;;;;;;FILES;;PLANT ID;;;;;;VISITORS (1);;;;;;;;;;;;;;VISITOR BEHAVIOUR (1);;;;;;;;;;;;;;;;;;;CONTACT (1);;;
Year;Month;Day;Hour;Min;Sec;##;Video file name;Video record present;Plant Genus;Plant Species;Plant Number;Number of observed flowers (M | F);;Multiplier;Visitor arrival;Exact time of arrival;T.o.A. in video file;Total duration of visit (sec);Exact time of departure;;;T.o.D. in video file;Visitor species;JH/SD IDs;;Insect order ;Sex;;Number of visited flowers (M | F);;Flower number;Resting/walking;Duration (sec);Flying;Duration (sec);Feeding on pollen;Duration (sec);Feeding on nectar ;Duration (sec);Unsuccessful nectardrinking attempts;Duration (sec);Feeding on floral parts;Duration (sec);Comment (visitor behaviour);Primary Robbing;Secondary robbing;;Contact with anthers;# flowers with anthers contacted;Contact with stigma;# flowers with stigmas contacted
2021;Nov;10;17;51;;;Hyprev4_20211110_17_00;1;Hypericum;revolutum;4;4;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;10;17;52;;;Hyprev4_20211110_17_00;1;Hypericum;revolutum;4;4;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;10;17;53;00 43;;Hyprev4_20211110_17_00;1;Hypericum;revolutum;4;4;0;;1;17:53:43;53:43;17;17;54;00;54:00;fly;Calyptratae sp.03;;Diptera;NA;;1;;;;;;;;;;;;;;;;;;;0;;0;
2021;Nov;10;17;54;;;Hyprev4_20211110_17_00;1;Hypericum;revolutum;4;4;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;10;17;55;;;Hyprev4_20211110_17_00;1;Hypericum;revolutum;4;4;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;10;17;56;00 14;;Hyprev4_20211110_17_00;1;Hypericum;revolutum;4;4;0;;1;17:56:14;56:14;169;17;59;03;59:03;unknown;small beetle;;Coleoptera;NA;;1;;;;;;;;;;;;;;;;;;;0;;0;
2021;Nov;10;17;57;00 53;;Hyprev4_20211110_17_00;1;Hypericum;revolutum;4;4;0;;1;17:57:53;57:53;48;17;58;41;58:41;fly;Brachycera;;Diptera;NA;;1;;;;;;;;;;;;;;;;;;;0;;0;
2021;Nov;10;17;58;00 28;;Hyprev4_20211110_17_00;1;Hypericum;revolutum;4;4;0;;1;17:58:28;58:28;45;17;59;13;59:13;unknown;unidentified;;Unknown;NA;;1;;;;;;;;;;;;;;;small black thing.;;;;0;;0;
2021;Nov;10;17;59;;;Hyprev4_20211110_17_00;1;Hypericum;revolutum;4;4;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;10;18;00;;;Hyprev4_20211110_18_00;1;Hypericum;revolutum;4;4;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;10;18;01;;;Hyprev4_20211110_18_00;1;Hypericum;revolutum;4;4;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;10;18;02;;;Hyprev4_20211110_18_00;1;Hypericum;revolutum;4;4;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;10;18;03;;;Hyprev4_20211110_18_00;1;Hypericum;revolutum;4;4;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;10;18;04;00 30;;Hyprev4_20211110_18_00;1;Hypericum;revolutum;4;4;0;;1;18:04:30;04:30;04;18;04;34;04:34;fly;Grey fly with dots;;Diptera;NA;;1;;;;;;;;;;;;;;;;;;;0;;0;
2021;Nov;10;18;05;;;Hyprev4_20211110_18_00;1;Hypericum;revolutum;4;4;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;10;18;06;;;Hyprev4_20211110_18_00;1;Hypericum;revolutum;4;4;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;10;18;07;;;Hyprev4_20211110_18_00;1;Hypericum;revolutum;4;4;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;10;18;08;;;Hyprev4_20211110_18_00;1;Hypericum;revolutum;4;4;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;10;18;09;;;Hyprev4_20211110_18_00;1;Hypericum;revolutum;4;4;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;10;18;10;;;Hyprev4_20211110_18_00;1;Hypericum;revolutum;4;4;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;10;18;11;;;Hyprev4_20211110_18_00;1;Hypericum;revolutum;4;4;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
